	horizon	mean_absolute_error	type	step
0	1	2.57359231391843	cv	1
1	2	7.017401684576401	cv	1
2	3	10.697629766426248	cv	1
3	4	12.383238682987123	cv	1
4	5	14.525861244634953	cv	1
5	6	16.415243211712145	cv	1
6	7	19.134556589674858	cv	1
7	8	21.78645221337842	cv	1
8	9	25.411956432641478	cv	1
9	10	29.663510916115907	cv	1
10	1	5.125978131054687	cv	2
11	2	13.986773427700523	cv	2
12	3	24.058219216585343	cv	2
13	4	33.44156230354184	cv	2
14	5	42.80800409491862	cv	2
15	6	43.70851630079829	cv	2
16	7	50.015947805946894	cv	2
17	8	82.5802057711187	cv	2
18	9	164.19086718815174	cv	2
19	10	426.7279838986924	cv	2
20	1	1.820772127575397	cv	3
21	2	5.7344361606746705	cv	3
22	3	10.634300682801829	cv	3
23	4	13.84501480005552	cv	3
24	5	17.18312699450395	cv	3
25	6	17.905823721133757	cv	3
26	7	22.30661602542123	cv	3
27	8	34.49460497762829	cv	3
28	9	68.55429741378634	cv	3
29	10	138.1096564171868	cv	3
30	1	2.639875899142042	cv	4
31	2	4.674462374667762	cv	4
32	3	5.235137958970057	cv	4
33	4	5.887504301834384	cv	4
34	5	7.074063563089729	cv	4
35	6	8.136607400050227	cv	4
36	7	9.110684099631369	cv	4
37	8	9.093781102825679	cv	4
38	9	17.402019198370972	cv	4
39	10	36.333675932611065	cv	4
40	1	2.7050220256301314	cv	5
41	2	5.441511095457252	cv	5
42	3	7.3524172369284	cv	5
43	4	9.797672852915378	cv	5
44	5	11.123094544704271	cv	5
45	6	12.889114183400785	cv	5
46	7	14.532512859579883	cv	5
47	8	14.787734092996809	cv	5
48	9	13.374856005233864	cv	5
49	10	11.474442278159113	cv	5
50	1	2.500005685606352	test	
51	2	5.037784893932883	test	
52	3	7.6780872243314375	test	
53	4	9.229522657781203	test	
54	5	11.557666177146283	test	
55	6	13.567596105967137	test	
56	7	15.186050766658054	test	
57	8	17.359142174864783	test	
58	9	19.29294127822468	test	
59	10	21.23041905008631	test	
