	horizon	mean_absolute_error	type	step
0	1	2.7576771348755695	cv	1
1	2	10.837820381554511	cv	1
2	3	13.881651946906503	cv	1
3	4	15.170950684310196	cv	1
4	5	18.35102357072355	cv	1
5	6	20.853484721564183	cv	1
6	7	22.498986409126612	cv	1
7	8	26.049543880358986	cv	1
8	9	31.933036674766047	cv	1
9	10	43.601981644423574	cv	1
10	1	5.326192825723586	cv	2
11	2	11.348042867803551	cv	2
12	3	17.065212208516986	cv	2
13	4	20.177999691687663	cv	2
14	5	18.58743074195726	cv	2
15	6	13.247471033242421	cv	2
16	7	13.464938942943355	cv	2
17	8	15.670713466087301	cv	2
18	9	31.030076570437238	cv	2
19	10	72.98770376833882	cv	2
20	1	2.5098372496357837	cv	3
21	2	7.748669669954497	cv	3
22	3	13.552323215288139	cv	3
23	4	17.271492115194203	cv	3
24	5	17.68404146070461	cv	3
25	6	12.310385438298468	cv	3
26	7	16.978842474375586	cv	3
27	8	27.733175864801808	cv	3
28	9	47.95316687838899	cv	3
29	10	86.29852899936277	cv	3
30	1	2.1732912716683925	cv	4
31	2	4.522165666059189	cv	4
32	3	6.400854887240782	cv	4
33	4	7.842821047276068	cv	4
34	5	9.920622231682714	cv	4
35	6	14.321639986168462	cv	4
36	7	19.208591441057674	cv	4
37	8	27.657461833040323	cv	4
38	9	38.54367859033731	cv	4
39	10	68.97838170512831	cv	4
40	1	3.050204195652689	cv	5
41	2	5.925633867030739	cv	5
42	3	7.098715742314847	cv	5
43	4	8.947890518148201	cv	5
44	5	10.961710499836808	cv	5
45	6	13.729188184802828	cv	5
46	7	15.675178642431977	cv	5
47	8	18.014305734582717	cv	5
48	9	20.01467656393334	cv	5
49	10	24.541408369797438	cv	5
50	1	2.4029547556231208	test	
51	2	5.149681796963149	test	
52	3	8.047480824521461	test	
53	4	9.919465962716934	test	
54	5	12.687886836865388	test	
55	6	14.667255664617365	test	
56	7	16.63482128942148	test	
57	8	19.11972598332279	test	
58	9	21.855145189743332	test	
59	10	24.590148134844476	test	
