	horizon	mean_absolute_error	type	step
0	1	3.0168470832852314	cv	1
1	2	10.98024234834433	cv	1
2	3	14.083159457772588	cv	1
3	4	15.358087973178353	cv	1
4	5	18.845112826965693	cv	1
5	6	20.939090871324353	cv	1
6	7	23.760220630092324	cv	1
7	8	28.24593164435643	cv	1
8	9	36.92975813331326	cv	1
9	10	55.29001558559005	cv	1
10	1	9.925183114623264	cv	2
11	2	22.747193676981045	cv	2
12	3	39.46627390177162	cv	2
13	4	52.53862597724834	cv	2
14	5	54.43980260490202	cv	2
15	6	53.761124182180176	cv	2
16	7	59.41315185775218	cv	2
17	8	114.2871977629729	cv	2
18	9	254.12920272309924	cv	2
19	10	763.9092179619774	cv	2
20	1	2.867208658397711	cv	3
21	2	12.68063643802307	cv	3
22	3	24.815648733827782	cv	3
23	4	35.146927069188244	cv	3
24	5	42.9546990506468	cv	3
25	6	35.86471211806868	cv	3
26	7	60.777796506454955	cv	3
27	8	114.18459230779473	cv	3
28	9	215.64224314387005	cv	3
29	10	419.2657395739317	cv	3
30	1	2.406706517021652	cv	4
31	2	4.028849106891232	cv	4
32	3	9.254642168892302	cv	4
33	4	14.233269360315715	cv	4
34	5	21.3950166883925	cv	4
35	6	37.143958615609634	cv	4
36	7	59.922181730017876	cv	4
37	8	99.20237790383678	cv	4
38	9	139.34557835630955	cv	4
39	10	266.34959491271593	cv	4
40	1	2.7444024297532144	cv	5
41	2	4.86399679772249	cv	5
42	3	5.6899066449675715	cv	5
43	4	8.150744843161652	cv	5
44	5	11.585809540421776	cv	5
45	6	15.462119258002716	cv	5
46	7	19.09946919042195	cv	5
47	8	25.119391537736792	cv	5
48	9	36.40566626270277	cv	5
49	10	55.90280079044774	cv	5
50	1	2.1712899938340975	test	
51	2	4.54653784553884	test	
52	3	6.865745711521318	test	
53	4	8.717201228650135	test	
54	5	11.366876217530983	test	
55	6	13.275320672242538	test	
56	7	14.941641569116522	test	
57	8	17.45536093758964	test	
58	9	19.857027186250416	test	
59	10	22.20284729578814	test	
