	horizon	mean_absolute_error	type	step
0	1	2.5084786082551247	cv	1
1	2	2.9248124858910067	cv	1
2	3	4.561080509729216	cv	1
3	4	5.770100082406748	cv	1
4	5	8.04454562030802	cv	1
5	6	10.522383709116902	cv	1
6	7	12.208539985608141	cv	1
7	8	14.905957115466821	cv	1
8	9	18.644289287521598	cv	1
9	10	22.700832426250418	cv	1
10	1	2.6021543459525356	cv	2
11	2	3.2447983714177786	cv	2
12	3	3.6790687150139116	cv	2
13	4	5.417998273134856	cv	2
14	5	7.456274406558364	cv	2
15	6	8.834152982772588	cv	2
16	7	11.108001364449999	cv	2
17	8	14.416141613971153	cv	2
18	9	17.983986711250342	cv	2
19	10	20.733512385546533	cv	2
20	1	2.1200276990884124	cv	3
21	2	3.228313329233026	cv	3
22	3	5.031474336532574	cv	3
23	4	7.166672274761552	cv	3
24	5	8.650436798982609	cv	3
25	6	10.756130027242842	cv	3
26	7	13.769642110467077	cv	3
27	8	17.124251875783507	cv	3
28	9	19.791884096151467	cv	3
29	10	22.98053488861543	cv	3
30	1	1.964443923694381	cv	4
31	2	3.387643987427245	cv	4
32	3	5.349117748929863	cv	4
33	4	6.778594881753746	cv	4
34	5	8.611207969963628	cv	4
35	6	11.199054722778042	cv	4
36	7	14.150470843624452	cv	4
37	8	16.570117458758233	cv	4
38	9	19.52762209170176	cv	4
39	10	22.37093148787121	cv	4
40	1	2.2945110319204907	cv	5
41	2	4.528570037654922	cv	5
42	3	5.685436487791494	cv	5
43	4	7.5716490533822505	cv	5
44	5	10.434610176303654	cv	5
45	6	13.476531566970175	cv	5
46	7	15.854499679334415	cv	5
47	8	18.575854142731387	cv	5
48	9	21.56192642531288	cv	5
49	10	25.132341472755407	cv	5
50	1	2.7097012234630675	test	
51	2	6.013776271638815	test	
52	3	9.76844865197595	test	
53	4	12.305989174439112	test	
54	5	14.437861608363423	test	
55	6	17.72049329275767	test	
56	7	21.395844645872437	test	
57	8	25.148555674796174	test	
58	9	29.764701603867916	test	
59	10	34.49246703821357	test	
