	horizon	mean_absolute_error	type	step
0	1	4.104083760947597	cv	1
1	2	12.077523042148176	cv	1
2	3	14.589494677753455	cv	1
3	4	14.34044496444775	cv	1
4	5	15.731893818768594	cv	1
5	6	16.920992770596314	cv	1
6	7	21.4589996774072	cv	1
7	8	24.42791162424262	cv	1
8	9	30.989466877704135	cv	1
9	10	54.80967879832431	cv	1
10	1	15.481485723785731	cv	2
11	2	43.50251909334417	cv	2
12	3	88.98290427657014	cv	2
13	4	144.39257037948326	cv	2
14	5	182.30004770325118	cv	2
15	6	240.5761368899573	cv	2
16	7	363.14117662244246	cv	2
17	8	1022.2724203347184	cv	2
18	9	3262.780884719138	cv	2
19	10	15011.829722530987	cv	2
20	1	3.445269038328298	cv	3
21	2	19.294881215594454	cv	3
22	3	43.17591712462968	cv	3
23	4	72.38267394643083	cv	3
24	5	104.31948882941188	cv	3
25	6	100.03782667674047	cv	3
26	7	189.71747525860997	cv	3
27	8	437.8337359987666	cv	3
28	9	1064.714827688716	cv	3
29	10	2625.399045838757	cv	3
30	1	2.4521229186739273	cv	4
31	2	3.9646416569213887	cv	4
32	3	13.200123822608148	cv	4
33	4	24.216322856199756	cv	4
34	5	42.218337145477754	cv	4
35	6	72.56765472564899	cv	4
36	7	119.14938476121446	cv	4
37	8	221.15140723207884	cv	4
38	9	354.907563629661	cv	4
39	10	822.795012240436	cv	4
40	1	2.5298756997769	cv	5
41	2	4.730854599960729	cv	5
42	3	5.440323718677176	cv	5
43	4	7.612187119856879	cv	5
44	5	17.167347806988882	cv	5
45	6	24.575720206054598	cv	5
46	7	34.27501161046194	cv	5
47	8	47.46007790938857	cv	5
48	9	74.16049469585504	cv	5
49	10	124.75936819807677	cv	5
50	1	1.9557683190875146	test	
51	2	3.479977692664743	test	
52	3	5.178778544637399	test	
53	4	6.834154576619533	test	
54	5	9.260836146753542	test	
55	6	11.254000835313368	test	
56	7	12.841743865877527	test	
57	8	14.530991644251689	test	
58	9	17.88469009421032	test	
59	10	21.022568658620845	test	
