	horizon	mean_absolute_error	type	step
0	1	4.324609647471031	cv	1
1	2	12.281259164680863	cv	1
2	3	14.788210507644663	cv	1
3	4	14.848083132728993	cv	1
4	5	16.339892136800465	cv	1
5	6	17.63343004627474	cv	1
6	7	22.42604937540737	cv	1
7	8	25.790855698372685	cv	1
8	9	34.63730760158041	cv	1
9	10	62.312773755808095	cv	1
10	1	16.5899066593558	cv	2
11	2	47.82017498449757	cv	2
12	3	100.13081619051681	cv	2
13	4	165.91888960012744	cv	2
14	5	213.6902232444851	cv	2
15	6	287.83584426139544	cv	2
16	7	450.28889916983144	cv	2
17	8	1333.5897045850631	cv	2
18	9	4384.004140968835	cv	2
19	10	20930.390611199036	cv	2
20	1	3.569879545571354	cv	3
21	2	20.827704306603714	cv	3
22	3	47.51985403313873	cv	3
23	4	81.39113636420234	cv	3
24	5	119.56949101368092	cv	3
25	6	116.76091658065114	cv	3
26	7	226.03127664176452	cv	3
27	8	541.5341192842848	cv	3
28	9	1364.4427326542036	cv	3
29	10	3555.498093850698	cv	3
30	1	2.3816910884901783	cv	4
31	2	3.9302612409993625	cv	4
32	3	14.321108641996924	cv	4
33	4	26.62907011394283	cv	4
34	5	46.93760112871182	cv	4
35	6	80.41247220580743	cv	4
36	7	132.6033983461417	cv	4
37	8	250.45014200875616	cv	4
38	9	406.82614068999385	cv	4
39	10	968.8383411394011	cv	4
40	1	2.4337589612985076	cv	5
41	2	4.574548918884393	cv	5
42	3	5.214670386445494	cv	5
43	4	8.452817809897503	cv	5
44	5	18.81926571539795	cv	5
45	6	27.075850803177083	cv	5
46	7	38.19275892531669	cv	5
47	8	53.46213426609595	cv	5
48	9	84.35105685584648	cv	5
49	10	144.4723379122184	cv	5
50	1	1.9384950032822608	test	
51	2	3.3399448012977833	test	
52	3	5.082974513445821	test	
53	4	6.777576451597426	test	
54	5	9.222236386422402	test	
55	6	11.161882545170728	test	
56	7	12.695087946914455	test	
57	8	14.434113972300954	test	
58	9	17.74111416351072	test	
59	10	20.905804584434833	test	
