	horizon	mean_absolute_error	type	step
0	1	3.5109789149149258	cv	1
1	2	5.167397731120462	cv	1
2	3	7.5018419445547755	cv	1
3	4	9.576992425145951	cv	1
4	5	12.314663138127267	cv	1
5	6	14.701710462114747	cv	1
6	7	16.637943196552023	cv	1
7	8	19.32491113749382	cv	1
8	9	21.99142342383391	cv	1
9	10	25.062030348367976	cv	1
10	1	2.185303708100174	cv	2
11	2	3.2942345841661402	cv	2
12	3	4.136508460623765	cv	2
13	4	5.509686201213604	cv	2
14	5	6.746321256424781	cv	2
15	6	7.349117547544159	cv	2
16	7	8.081208962343828	cv	2
17	8	8.596177616826788	cv	2
18	9	9.377755560677445	cv	2
19	10	10.35980921901194	cv	2
20	1	2.1094631390569893	cv	3
21	2	3.5959485822981008	cv	3
22	3	5.1334702553216776	cv	3
23	4	7.063827205432087	cv	3
24	5	8.875336758857394	cv	3
25	6	10.378298327980211	cv	3
26	7	11.45638553447493	cv	3
27	8	13.042857391814483	cv	3
28	9	15.214642961278582	cv	3
29	10	18.13555672314308	cv	3
30	1	2.2433343263241956	cv	4
31	2	3.6020838778239637	cv	4
32	3	5.178927976291561	cv	4
33	4	7.250533096659865	cv	4
34	5	8.608122641482836	cv	4
35	6	9.470257948213193	cv	4
36	7	10.457930791175313	cv	4
37	8	12.319660905500246	cv	4
38	9	14.845416413388332	cv	4
39	10	17.020330256724076	cv	4
40	1	2.2144011864549173	cv	5
41	2	4.134648158566769	cv	5
42	3	5.203551565972624	cv	5
43	4	6.169738810811039	cv	5
44	5	6.927528509885735	cv	5
45	6	7.682145808383614	cv	5
46	7	8.832695380574506	cv	5
47	8	10.459195392969919	cv	5
48	9	12.14551936360178	cv	5
49	10	13.612925150942345	cv	5
50	1	1.163815743908938	test	
51	2	1.7794095341912193	test	
52	3	2.539566843970691	test	
53	4	2.973037111232303	test	
54	5	4.590195074393885	test	
55	6	5.723341026074772	test	
56	7	6.710268946477132	test	
57	8	7.760008060171093	test	
58	9	8.380003541237317	test	
59	10	9.116499026297387	test	
