	horizon	mean_absolute_error	type	step
0	1	2.4903040087105723	cv	1
1	2	2.730754570014781	cv	1
2	3	3.321674769829872	cv	1
3	4	4.76596403706606	cv	1
4	5	6.835153261743081	cv	1
5	6	9.658970864174995	cv	1
6	7	10.240649989668027	cv	1
7	8	11.547172344865906	cv	1
8	9	13.784732432709676	cv	1
9	10	17.515795826469162	cv	1
10	1	2.7778522519338793	cv	2
11	2	3.6199154692516617	cv	2
12	3	3.8416652499719386	cv	2
13	4	4.095775197200825	cv	2
14	5	5.2652678876517625	cv	2
15	6	5.740303316929738	cv	2
16	7	6.649370951198043	cv	2
17	8	7.415835942174977	cv	2
18	9	8.86131436810724	cv	2
19	10	9.888323897652546	cv	2
20	1	1.6239369970668356	cv	3
21	2	3.3055728464259424	cv	3
22	3	5.064692787210106	cv	3
23	4	6.99072926911849	cv	3
24	5	7.338177551969756	cv	3
25	6	7.8900870917184	cv	3
26	7	9.732709010814338	cv	3
27	8	12.018748106276432	cv	3
28	9	14.288523033262432	cv	3
29	10	16.79899544904146	cv	3
30	1	2.260286967651282	cv	4
31	2	3.2641771908689536	cv	4
32	3	4.806955633172258	cv	4
33	4	5.676810964326142	cv	4
34	5	6.227853093696811	cv	4
35	6	7.062066276560776	cv	4
36	7	8.666396274966404	cv	4
37	8	10.103791833201386	cv	4
38	9	12.209114817658465	cv	4
39	10	14.008788500902554	cv	4
40	1	2.7956759868957084	cv	5
41	2	4.943656963734471	cv	5
42	3	5.379345872863222	cv	5
43	4	6.407644451258259	cv	5
44	5	8.868117677704344	cv	5
45	6	11.576529876215302	cv	5
46	7	13.968050262443018	cv	5
47	8	16.03339079901677	cv	5
48	9	18.199491426903286	cv	5
49	10	20.571973245468246	cv	5
50	1	1.5202260947068773	test	
51	2	2.97529155030385	test	
52	3	4.806643562079841	test	
53	4	5.5028740727113306	test	
54	5	6.531645849607065	test	
55	6	7.221088601334997	test	
56	7	8.56033961378193	test	
57	8	10.10560646782312	test	
58	9	12.066230647167739	test	
59	10	14.209170528055873	test	
