	horizon	mean_absolute_error	type	step
0	1	1.9176470588235295	cv	1
1	2	5.515966386554622	cv	1
2	3	7.845378151260504	cv	1
3	4	11.44873949579832	cv	1
4	5	13.936134453781513	cv	1
5	6	16.270588235294117	cv	1
6	7	20.205042016806722	cv	1
7	8	22.941176470588236	cv	1
8	9	24.394957983193276	cv	1
9	10	26.0890756302521	cv	1
10	1	3.5983193277310925	cv	2
11	2	5.927731092436975	cv	2
12	3	9.53109243697479	cv	2
13	4	12.018487394957983	cv	2
14	5	14.352941176470589	cv	2
15	6	18.287394957983192	cv	2
16	7	21.023529411764706	cv	2
17	8	22.477310924369746	cv	2
18	9	24.17142857142857	cv	2
19	10	27.15126050420168	cv	2
20	1	2.3294117647058825	cv	3
21	2	5.932773109243698	cv	3
22	3	8.420168067226891	cv	3
23	4	10.754621848739497	cv	3
24	5	14.6890756302521	cv	3
25	6	17.425210084033612	cv	3
26	7	18.878991596638656	cv	3
27	8	20.57310924369748	cv	3
28	9	23.55294117647059	cv	3
29	10	27.273949579831932	cv	3
30	1	3.603361344537815	cv	4
31	2	6.090756302521008	cv	4
32	3	8.425210084033614	cv	4
33	4	12.359663865546219	cv	4
34	5	15.09579831932773	cv	4
35	6	16.549579831932775	cv	4
36	7	18.243697478991596	cv	4
37	8	21.223529411764705	cv	4
38	9	24.94453781512605	cv	4
39	10	27.794957983193278	cv	4
40	1	2.4873949579831933	cv	5
41	2	4.821848739495798	cv	5
42	3	8.756302521008404	cv	5
43	4	11.492436974789916	cv	5
44	5	12.946218487394958	cv	5
45	6	14.640336134453781	cv	5
46	7	17.620168067226892	cv	5
47	8	21.341176470588234	cv	5
48	9	24.19159663865546	cv	5
49	10	26.576470588235296	cv	5
50	1	2.235294117647059	test	
51	2	3.831932773109244	test	
52	3	5.072268907563025	test	
53	4	8.067226890756302	test	
54	5	11.847058823529412	test	
55	6	14.494117647058824	test	
56	7	16.529411764705884	test	
57	8	18.541176470588237	test	
58	9	19.729411764705883	test	
59	10	20.97142857142857	test	
