	STATEFP	COUNTYFP	CountyName	StateName	State
01001	1.0	1.0	Autauga	AL	Alabama
01003	1.0	3.0	Baldwin	AL	Alabama
01005	1.0	5.0	Barbour	AL	Alabama
01007	1.0	7.0	Bibb	AL	Alabama
01009	1.0	9.0	Blount	AL	Alabama
01011	1.0	11.0	Bullock	AL	Alabama
01013	1.0	13.0	Butler	AL	Alabama
01015	1.0	15.0	Calhoun	AL	Alabama
01017	1.0	17.0	Chambers	AL	Alabama
01019	1.0	19.0	Cherokee	AL	Alabama
01021	1.0	21.0	Chilton	AL	Alabama
01023	1.0	23.0	Choctaw	AL	Alabama
01025	1.0	25.0	Clarke	AL	Alabama
01027	1.0	27.0	Clay	AL	Alabama
01029	1.0	29.0	Cleburne	AL	Alabama
01033	1.0	33.0	Colbert	AL	Alabama
01035	1.0	35.0	Conecuh	AL	Alabama
01037	1.0	37.0	Coosa	AL	Alabama
01039	1.0	39.0	Covington	AL	Alabama
01041	1.0	41.0	Crenshaw	AL	Alabama
01043	1.0	43.0	Cullman	AL	Alabama
01045	1.0	45.0	Dale	AL	Alabama
01047	1.0	47.0	Dallas	AL	Alabama
01049	1.0	49.0	De Kalb	AL	Alabama
01051	1.0	51.0	Elmore	AL	Alabama
01053	1.0	53.0	Escambia	AL	Alabama
01055	1.0	55.0	Etowah	AL	Alabama
01057	1.0	57.0	Fayette	AL	Alabama
01059	1.0	59.0	Franklin	AL	Alabama
01061	1.0	61.0	Geneva	AL	Alabama
01063	1.0	63.0	Greene	AL	Alabama
01065	1.0	65.0	Hale	AL	Alabama
01067	1.0	67.0	Henry	AL	Alabama
01069	1.0	69.0	Houston	AL	Alabama
01071	1.0	71.0	Jackson	AL	Alabama
01073	1.0	73.0	Jefferson	AL	Alabama
01075	1.0	75.0	Lamar	AL	Alabama
01079	1.0	79.0	Lawrence	AL	Alabama
01081	1.0	81.0	Lee	AL	Alabama
01083	1.0	83.0	Limestone	AL	Alabama
01085	1.0	85.0	Lowndes	AL	Alabama
01087	1.0	87.0	Macon	AL	Alabama
01089	1.0	89.0	Madison	AL	Alabama
01091	1.0	91.0	Marengo	AL	Alabama
01093	1.0	93.0	Marion	AL	Alabama
01095	1.0	95.0	Marshall	AL	Alabama
01097	1.0	97.0	Mobile	AL	Alabama
01099	1.0	99.0	Monroe	AL	Alabama
01101	1.0	101.0	Montgomery	AL	Alabama
01103	1.0	103.0	Morgan	AL	Alabama
01105	1.0	105.0	Perry	AL	Alabama
01107	1.0	107.0	Pickens	AL	Alabama
01109	1.0	109.0	Pike	AL	Alabama
01111	1.0	111.0	Randolph	AL	Alabama
01113	1.0	113.0	Russell	AL	Alabama
01115	1.0	115.0	St Clair	AL	Alabama
01117	1.0	117.0	Shelby	AL	Alabama
01119	1.0	119.0	Sumter	AL	Alabama
01121	1.0	121.0	Talladega	AL	Alabama
01123	1.0	123.0	Tallapoosa	AL	Alabama
01125	1.0	125.0	Tuscaloosa	AL	Alabama
01127	1.0	127.0	Walker	AL	Alabama
01129	1.0	129.0	Washington	AL	Alabama
01131	1.0	131.0	Wilcox	AL	Alabama
01133	1.0	133.0	Winston	AL	Alabama
02013	2.0	13.0	Aleutians East	AK	Alaska
02016	2.0	16.0	Aleutians West	AK	Alaska
02020	2.0	20.0	Anchorage	AK	Alaska
02050	2.0	50.0	Bethel	AK	Alaska
02060	2.0	60.0	Bristol Bay	AK	Alaska
02068	2.0	68.0	Denali	AK	Alaska
02070	2.0	70.0	Dillingham	AK	Alaska
02090	2.0	90.0	Fairbanks North Star	AK	Alaska
02100	2.0	100.0	Haines	AK	Alaska
02122	2.0	122.0	Kenai Peninsula	AK	Alaska
02130	2.0	130.0	Ketchikan Gateway	AK	Alaska
02150	2.0	150.0	Kodiak Island	AK	Alaska
02164	2.0	164.0	Lake and Peninsula	AK	Alaska
02170	2.0	170.0	Matanuska-Susitna	AK	Alaska
02180	2.0	180.0	Nome	AK	Alaska
02185	2.0	185.0	North Slope	AK	Alaska
02188	2.0	188.0	Northwest Arctic	AK	Alaska
02220	2.0	220.0	Sitka	AK	Alaska
02240	2.0	240.0	Southeast Fairbanks	AK	Alaska
02261	2.0	261.0	Valdez-Cordova	AK	Alaska
02270	2.0	270.0	Wade Hampton	AK	Alaska
02282	2.0	282.0	Yakutat	AK	Alaska
02290	2.0	290.0	Yukon-Koyukuk	AK	Alaska
04001	4.0	1.0	Apache	AZ	Arizona
04003	4.0	3.0	Cochise	AZ	Arizona
04005	4.0	5.0	Coconino	AZ	Arizona
04007	4.0	7.0	Gila	AZ	Arizona
04009	4.0	9.0	Graham	AZ	Arizona
04011	4.0	11.0	Greenlee	AZ	Arizona
04012	4.0	12.0	La Paz	AZ	Arizona
04013	4.0	13.0	Maricopa	AZ	Arizona
04015	4.0	15.0	Mohave	AZ	Arizona
04017	4.0	17.0	Navajo	AZ	Arizona
04019	4.0	19.0	Pima	AZ	Arizona
04021	4.0	21.0	Pinal	AZ	Arizona
04023	4.0	23.0	Santa Cruz	AZ	Arizona
04025	4.0	25.0	Yavapai	AZ	Arizona
04027	4.0	27.0	Yuma	AZ	Arizona
05001	5.0	1.0	Arkansas	AR	Arkansas
05003	5.0	3.0	Ashley	AR	Arkansas
05005	5.0	5.0	Baxter	AR	Arkansas
05007	5.0	7.0	Benton	AR	Arkansas
05009	5.0	9.0	Boone	AR	Arkansas
05011	5.0	11.0	Bradley	AR	Arkansas
05013	5.0	13.0	Calhoun	AR	Arkansas
05015	5.0	15.0	Carroll	AR	Arkansas
05017	5.0	17.0	Chicot	AR	Arkansas
05019	5.0	19.0	Clark	AR	Arkansas
05021	5.0	21.0	Clay	AR	Arkansas
05023	5.0	23.0	Cleburne	AR	Arkansas
05025	5.0	25.0	Cleveland	AR	Arkansas
05027	5.0	27.0	Columbia	AR	Arkansas
05029	5.0	29.0	Conway	AR	Arkansas
05033	5.0	33.0	Crawford	AR	Arkansas
05035	5.0	35.0	Crittenden	AR	Arkansas
