countyFIPS	deaths	type	days_since_first_death
01001	1.0	observed	0
01001	1.0	observed	1
01001	1.0	observed	2
01001	1.0	observed	3
01001	1.0	observed	4
01001	1.0	observed	5
01001	1.0	observed	6
01001	1.0	observed	7
01001	1.0	observed	8
01001	1.0	observed	9
01001	1.0	observed	10
01001	1.0	observed	11
01001	1.0	observed	12
01001	1.0	observed	13
01001	1.0	observed	14
01001	2.0	observed	15
01001	2.0	observed	16
01001	2.0	observed	17
01001	2.0	observed	18
01001	3.0	observed	19
01001	3.0	observed	20
01001	3.0	observed	21
01001	3.0	observed	22
01001	3.0	observed	23
01001	3.0	observed	24
01001	3.0	observed	25
01001	3.0	observed	26
01001	3.0	observed	27
01001	3.0	observed	28
01001	3.0	observed	29
01001	4.0	observed	30
01001	4.0	observed	31
01001	4.0	observed	32
01001	4.0	observed	33
01003	1.0	observed	0
01003	1.0	observed	1
01003	1.0	observed	2
01003	2.0	observed	3
01003	2.0	observed	4
01003	2.0	observed	5
01003	2.0	observed	6
01003	2.0	observed	7
01003	2.0	observed	8
01003	2.0	observed	9
01003	2.0	observed	10
01003	2.0	observed	11
01003	3.0	observed	12
01003	4.0	observed	13
01003	4.0	observed	14
01003	4.0	observed	15
01003	4.0	observed	16
01003	5.0	observed	17
01003	5.0	observed	18
01003	5.0	observed	19
01003	5.0	observed	20
01003	5.0	observed	21
01003	5.0	observed	22
01003	6.0	observed	23
01005	1.0	observed	0
01005	1.0	observed	1
01005	1.0	observed	2
01005	1.0	observed	3
01005	1.0	observed	4
01005	1.0	observed	5
01005	1.0	observed	6
01005	1.0	observed	7
01005	1.0	observed	8
01005	1.0	observed	9
01005	1.0	observed	10
01005	1.0	observed	11
01005	1.0	observed	12
01011	1.0	observed	0
01011	1.0	observed	1
01011	1.0	observed	2
01011	1.0	observed	3
01011	1.0	observed	4
01011	1.0	observed	5
01013	1.0	observed	0
01013	1.0	observed	1
01013	1.0	observed	2
01013	1.0	observed	3
01013	1.0	observed	4
01013	1.0	observed	5
01013	1.0	observed	6
01013	1.0	observed	7
01013	1.0	observed	8
01013	2.0	observed	9
01013	2.0	observed	10
01013	2.0	observed	11
01013	3.0	observed	12
01013	6.0	observed	13
01013	6.0	observed	14
01013	6.0	observed	15
01015	1.0	observed	0
01015	2.0	observed	1
01015	2.0	observed	2
01015	2.0	observed	3
01015	3.0	observed	4
01015	3.0	observed	5
01015	3.0	observed	6
01015	3.0	observed	7
01015	3.0	observed	8
01015	3.0	observed	9
01015	3.0	observed	10
01015	3.0	observed	11
01015	3.0	observed	12
01015	3.0	observed	13
01015	3.0	observed	14
01015	3.0	observed	15
01015	3.0	observed	16
01015	3.0	observed	17
01015	3.0	observed	18
01015	3.0	observed	19
01015	3.0	observed	20
01015	3.0	observed	21
01015	3.0	observed	22
01015	3.0	observed	23
01015	3.0	observed	24
01017	1.0	observed	0
01017	1.0	observed	1
01017	3.0	observed	2
01017	4.0	observed	3
01017	4.0	observed	4
01017	4.0	observed	5
01017	5.0	observed	6
01017	5.0	observed	7
01017	5.0	observed	8
01017	7.0	observed	9
01017	8.0	observed	10
01017	8.0	observed	11
01017	8.0	observed	12
01017	8.0	observed	13
01017	8.0	observed	14
01017	8.0	observed	15
01017	8.0	observed	16
01017	8.0	observed	17
01017	9.0	observed	18
01017	11.0	observed	19
01017	11.0	observed	20
01017	11.0	observed	21
01017	11.0	observed	22
01017	13.0	observed	23
01017	16.0	observed	24
01017	16.0	observed	25
01017	17.0	observed	26
01017	18.0	observed	27
01017	18.0	observed	28
01017	18.0	observed	29
01017	19.0	observed	30
01017	21.0	observed	31
01017	21.0	observed	32
01017	21.0	observed	33
01017	21.0	observed	34
01017	21.0	observed	35
01017	21.0	observed	36
01017	21.0	observed	37
01017	21.0	observed	38
01017	21.0	observed	39
01017	21.0	observed	40
01017	21.0	observed	41
01017	21.0	observed	42
01017	21.0	observed	43
01021	1.0	observed	0
01021	1.0	observed	1
01021	1.0	observed	2
01021	1.0	observed	3
01021	1.0	observed	4
01021	1.0	observed	5
01021	1.0	observed	6
01021	1.0	observed	7
01021	1.0	observed	8
01021	1.0	observed	9
01021	1.0	observed	10
01021	1.0	observed	11
01021	1.0	observed	12
01021	1.0	observed	13
01021	1.0	observed	14
01021	1.0	observed	15
01021	1.0	observed	16
01021	1.0	observed	17
01021	1.0	observed	18
01025	1.0	observed	0
01025	1.0	observed	1
01025	1.0	observed	2
01025	1.0	observed	3
01025	1.0	observed	4
01025	1.0	observed	5
01025	1.0	observed	6
01025	1.0	observed	7
01025	1.0	observed	8
01025	1.0	observed	9
01025	1.0	observed	10
01025	1.0	observed	11
01025	1.0	observed	12
01025	1.0	observed	13
01025	1.0	observed	14
01025	1.0	observed	15
01025	1.0	observed	16
01025	1.0	observed	17
01025	1.0	observed	18
01025	1.0	observed	19
01025	1.0	observed	20
01027	1.0	observed	0
01027	1.0	observed	1
01027	1.0	observed	2
01027	1.0	observed	3
01027	1.0	observed	4
01027	1.0	observed	5
01027	1.0	observed	6
01027	1.0	observed	7
01027	1.0	observed	8
01027	1.0	observed	9
01027	1.0	observed	10
01027	1.0	observed	11
01027	1.0	observed	12
01027	1.0	observed	13
01027	1.0	observed	14
01027	1.0	observed	15
01027	1.0	observed	16
01027	1.0	observed	17
01027	1.0	observed	18
01029	1.0	observed	0
01029	1.0	observed	1
01029	1.0	observed	2
01029	1.0	observed	3
01029	1.0	observed	4
01029	1.0	observed	5
01029	1.0	observed	6
01029	1.0	observed	7
01029	1.0	observed	8
01029	1.0	observed	9
01029	1.0	observed	10
01029	1.0	observed	11
01029	1.0	observed	12
01029	1.0	observed	13
01029	1.0	observed	14
01029	1.0	observed	15
01029	1.0	observed	16
01029	1.0	observed	17
01029	1.0	observed	18
01029	1.0	observed	19
01033	1.0	observed	0
01033	1.0	observed	1
01033	1.0	observed	2
01033	1.0	observed	3
01033	1.0	observed	4
01033	1.0	observed	5
01033	1.0	observed	6
01033	1.0	observed	7
01033	1.0	observed	8
01033	1.0	observed	9
01033	1.0	observed	10
01033	1.0	observed	11
01033	1.0	observed	12
01033	1.0	observed	13
01033	2.0	observed	14
01033	2.0	observed	15
01033	2.0	observed	16
01033	2.0	observed	17
01033	2.0	observed	18
01033	2.0	observed	19
01033	2.0	observed	20
01033	2.0	observed	21
01033	2.0	observed	22
01033	2.0	observed	23
01033	2.0	observed	24
01033	2.0	observed	25
01033	2.0	observed	26
01033	2.0	observed	27
01033	2.0	observed	28
01033	2.0	observed	29
01033	2.0	observed	30
01033	2.0	observed	31
01037	1.0	observed	0
01037	1.0	observed	1
01037	1.0	observed	2
01037	1.0	observed	3
01037	1.0	observed	4
01037	1.0	observed	5
01037	1.0	observed	6
01037	1.0	observed	7
01037	1.0	observed	8
01037	1.0	observed	9
01037	1.0	observed	10
01037	1.0	observed	11
01037	1.0	observed	12
01037	1.0	observed	13
01037	1.0	observed	14
01037	1.0	observed	15
01037	1.0	observed	16
01037	1.0	observed	17
01037	1.0	observed	18
01037	1.0	observed	19
01037	1.0	observed	20
01037	1.0	observed	21
01037	1.0	observed	22
01037	1.0	observed	23
01037	1.0	observed	24
01037	1.0	observed	25
01037	1.0	observed	26
01037	1.0	observed	27
01039	1.0	observed	0
01039	1.0	observed	1
01039	1.0	observed	2
01039	1.0	observed	3
01039	1.0	observed	4
01039	1.0	observed	5
01039	1.0	observed	6
01039	1.0	observed	7
01039	1.0	observed	8
01039	1.0	observed	9
01039	1.0	observed	10
01039	1.0	observed	11
01039	1.0	observed	12
01039	1.0	observed	13
01039	1.0	observed	14
01039	1.0	observed	15
01047	2.0	observed	0
01047	2.0	observed	1
01047	2.0	observed	2
01047	2.0	observed	3
01047	2.0	observed	4
01047	2.0	observed	5
01047	2.0	observed	6
01047	2.0	observed	7
01047	2.0	observed	8
01047	2.0	observed	9
01047	2.0	observed	10
01047	3.0	observed	11
01047	3.0	observed	12
01047	3.0	observed	13
01047	3.0	observed	14
01047	3.0	observed	15
01047	3.0	observed	16
01047	3.0	observed	17
01047	3.0	observed	18
01047	3.0	observed	19
01047	3.0	observed	20
01047	3.0	observed	21
01047	3.0	observed	22
01047	3.0	observed	23
01047	3.0	observed	24
01047	3.0	observed	25
01049	1.0	observed	0
01049	2.0	observed	1
01049	2.0	observed	2
01049	2.0	observed	3
