countyFIPS	StateName	POP_LATITUDE	POP_LONGITUDE	CensusRegionName	CensusDivisionName	Rural-UrbanContinuumCode2013	PopulationEstimate2018	PopTotalMale2017	PopTotalFemale2017	FracMale2017	PopulationEstimate65+2017	PopulationDensityperSqMile2010	MedianAge2010	#EligibleforMedicare2018	MedicareEnrollment,AgedTot2017	DiabetesPercentage	HeartDiseaseMortality	StrokeMortality	Smokers_Percentage	RespMortalityRate2014	#FTEHospitalTotal2017	TotalM.D.'s,TotNon-FedandFed2017	#HospParticipatinginNetwork2017	#Hospitals	#ICU_beds	dem_to_rep_ratio	PopMale<52010	PopFmle<52010	PopMale5-92010	PopFmle5-92010	PopMale10-142010	PopFmle10-142010	PopMale15-192010	PopFmle15-192010	PopMale20-242010	PopFmle20-242010	PopMale25-292010	PopFmle25-292010	PopMale30-342010	PopFmle30-342010	PopMale35-442010	PopFmle35-442010	PopMale45-542010	PopFmle45-542010	PopMale55-592010	PopFmle55-592010	PopMale60-642010	PopFmle60-642010	PopMale65-742010	PopFmle65-742010	PopMale75-842010	PopFmle75-842010	PopMale>842010	PopFmle>842010	SVIPercentile
1001	AL	32.500389	-86.494165	South	East South Central	2	55601	27007	28497	0.486577543960796	8392	91.8	37	11439	8046	9.9	204.5	56.1	18.08155718	81.79	324	50	0	1	6	0.326656394453005	1866	1713	2001	1990	2171	2119	2213	2077	1539	1541	1543	1614	1594	1736	3978	4265	4040	4165	1524	1559	1279	1498	1821	2192	841	1141	159	392	0.4354
1003	AL	30.548923	-87.762381	South	East South Central	3	218022	103225	109403	0.485472280226499	42413	114.7	41.1	54145	41590	8.5	183.2	41.9	17.489032597	54.28	2101	536	0	3	51	0.253255217266029	5614	5544	5832	5767	6076	5850	5930	5670	4793	4656	5183	5064	5317	5392	11620	11933	13047	13874	5943	6580	5728	6284	8558	9245	4379	5153	1176	2057	0.2162
1005	AL	31.844036	-85.310038	South	East South Central	6	24881	13335	11935	0.527700831024931	4757	31	39	6681	4706	15.7	220.4	49	21.999984528	69.82	181	12	0	1	5	0.893105977264393	847	855	826	816	820	779	919	812	1048	746	1212	798	1162	646	2115	1513	2164	1854	910	907	859	940	1067	1171	498	730	129	314	0.9959
1007	AL	33.030921	-87.127659	South	East South Central	1	22400	12138	10530	0.535468501852832	3632	36.8	37.8	5128	3389	13.3	225.5	57.2	19.114199885	84.49	145	16	0	1	0	0.278124072425052	712	666	759	646	771	669	806	737	811	680	987	616	1013	633	1895	1487	1883	1503	734	667	684	650	803	920	370	534	73	206	0.6003
1009	AL	33.955243	-86.591491	South	East South Central	1	57840	28607	29406	0.493113612466171	10351	88.9	39	13175	9542	14.9	224.8	52.8	19.20867197	87.05	103	18	1	1	6	0.0943173367163918	1805	1811	1936	1944	2113	1971	2139	1894	1577	1530	1735	1701	1730	1711	4022	3903	4068	4017	1810	1884	1700	1882	2391	2688	1102	1450	234	574	0.4242
1011	AL	32.116327	-85.701192	South	East South Central	6	10138	5615	4694	0.544669706082064	1631	17.5	38.5	2198	1434	22.4	214.3	54.1	22.894664011	51.49	196	4	0	1	0	3.09649122807018	402	340	295	275	337	338	365	361	392	319	500	322	444	289	816	546	972	725	433	335	330	309	393	442	171	255	62	146	0.8898
1013	AL	31.773539	-86.65355	South	East South Central	6	19680	9232	10593	0.465674653215637	3877	27	40.1	5073	3571	16.9	259.5	59	21.765334963	75.09	330	18	0	1	7	0.76025300958988	714	658	726	625	750	715	744	647	534	636	578	705	574	670	1091	1286	1401	1579	714	817	628	666	839	990	408	740	137	375	0.8653
1015	AL	33.72546	-85.819442	South	East South Central	3	114277	55149	59579	0.480693466285475	19862	195.7	38.2	28487	20142	15.6	315.8	44	20.612560375	87.32	1694	228	0	2	24	0.402921040620721	3705	3499	3881	3640	3936	3783	4343	4264	4474	4548	3711	3890	3517	3669	7161	7466	8258	8728	3858	4166	3372	3713	4319	5118	2174	3575	467	1337	0.8252
1017	AL	32.860439	-85.266474	South	East South Central	6	33615	16140	17573	0.478747070862872	6432	57.4	41.5	9276	6342	17.5	196.7	45.2	19.392927053	84	0	28	0	0	0	0.737472905775851	981	972	1081	964	1134	1103	1168	1130	1003	922	902	985	922	992	2189	2243	2430	2619	1165	1302	1077	1225	1456	1652	666	1161	189	582	0.7382
1019	AL	34.179333	-85.629194	South	East South Central	6	26032	12846	13011	0.496809374637429	5848	46.9	43.9	7493	5195	12.2	267.4	47.3	17.498673785	93.04	151	14	0	1	0	0.172791243158718	718	672	735	789	829	801	900	770	643	615	581	624	676	662	1740	1640	2016	2004	964	945	999	1015	1409	1500	559	804	119	260	0.4516
