countyFIPS	stay at home	>50 gatherings	>500 gatherings	public schools	restaurant dine-in	entertainment/gym	federal guidelines
01001	-4.0	-19.0	-26.0	-23	-20	-11.0	-23
01003	-14.0	-29.0	-36.0	-33	-30	-21.0	-33
01005	-25.0	-40.0	-47.0	-44	-41	-32.0	-44
01007	-34.0	-49.0	-56.0	-53	-50	-41.0	-53
01011	-32.0	-47.0	-54.0	-51	-48	-39.0	-51
01013	-22.0	-37.0	-44.0	-41	-38	-29.0	-41
01015	-13.0	-28.0	-35.0	-32	-29	-20.0	-32
01017	6.0	-9.0	-16.0	-13	-10	-1.0	-13
01021	-19.0	-34.0	-41.0	-38	-35	-26.0	-38
01025	-17.0	-32.0	-39.0	-36	-33	-24.0	-36
01027	-19.0	-34.0	-41.0	-38	-35	-26.0	-38
01029	-18.0	-33.0	-40.0	-37	-34	-25.0	-37
01033	-6.0	-21.0	-28.0	-25	-22	-13.0	-25
01037	-10.0	-25.0	-32.0	-29	-26	-17.0	-29
01039	-22.0	-37.0	-44.0	-41	-38	-29.0	-41
01041	-37.0	-52.0	-59.0	-56	-53	-44.0	-56
01047	-12.0	-27.0	-34.0	-31	-28	-19.0	-31
01049	-13.0	-28.0	-35.0	-32	-29	-20.0	-32
01051	-14.0	-29.0	-36.0	-33	-30	-21.0	-33
01053	-18.0	-33.0	-40.0	-37	-34	-25.0	-37
01055	1.0	-14.0	-21.0	-18	-15	-6.0	-18
01059	-32.0	-47.0	-54.0	-51	-48	-39.0	-51
01063	-24.0	-39.0	-46.0	-43	-40	-31.0	-43
01065	-20.0	-35.0	-42.0	-39	-36	-27.0	-39
01067	-20.0	-35.0	-42.0	-39	-36	-27.0	-39
01069	-13.0	-28.0	-35.0	-32	-29	-20.0	-32
01071	10.0	-5.0	-12.0	-9	-6	3.0	-9
01073	-10.0	-16.0	-23.0	-20	-17	-8.0	-20
01081	4.0	-11.0	-18.0	-15	-12	-3.0	-15
01085	-19.0	-34.0	-41.0	-38	-35	-26.0	-38
01087	-3.0	-18.0	-25.0	-22	-19	-10.0	-22
01089	7.0	-8.0	-15.0	-12	-9	0.0	-12
01091	-4.0	-19.0	-26.0	-23	-20	-11.0	-23
01093	1.0	-14.0	-21.0	-18	-15	-6.0	-18
01095	-3.0	-18.0	-25.0	-22	-19	-10.0	-22
01097	5.0	-10.0	-17.0	-14	-11	-2.0	-14
01099	-15.0	-30.0	-37.0	-34	-31	-22.0	-34
01101	4.0	-11.0	-18.0	-15	-12	-3.0	-15
01107	-18.0	-33.0	-40.0	-37	-34	-25.0	-37
01111	0.0	-15.0	-22.0	-19	-16	-7.0	-19
01115	-32.0	-47.0	-54.0	-51	-48	-39.0	-51
01117	4.0	-11.0	-18.0	-15	-12	-3.0	-15
01119	-19.0	-34.0	-41.0	-38	-35	-26.0	-38
01121	-17.0	-32.0	-39.0	-36	-33	-24.0	-36
01123	5.0	-10.0	-17.0	-14	-11	-2.0	-14
01125	-25.0	-40.0	-47.0	-44	-41	-32.0	-44
01129	3.0	-12.0	-19.0	-16	-13	-4.0	-16
01131	-20.0	-35.0	-42.0	-39	-36	-27.0	-39
02020	-5.0	-5.0	-5.0	-8	-10	-10.0	-11
02090	-7.0	-11.0	-11.0	-16	-18	-18.0	-19
02122	-7.0	-11.0	-11.0	-16	-18	-18.0	-19
02170	-17.0	-21.0	-21.0	-26	-28	-28.0	-29
04001	-7.0	-21.0	-21.0	-22	-19	-19.0	-22
04003	-38.0	-52.0	-52.0	-53	-50	-50.0	-53
04005	7.0	-7.0	-7.0	-8	-5	-5.0	-8
04007	-38.0	-52.0	-52.0	-53	-50	-50.0	-53
04012	-12.0	-26.0	-26.0	-27	-24	-24.0	-27
04013	10.0	-4.0	-4.0	-5	-2	-2.0	-5
04015	-12.0	-26.0	-26.0	-27	-24	-24.0	-27
04017	2.0	-12.0	-12.0	-13	-10	-10.0	-13
04019	7.0	-7.0	-7.0	-8	-5	-5.0	-8
04021	-8.0	-22.0	-22.0	-23	-20	-20.0	-23
04025	-12.0	-26.0	-26.0	-27	-24	-24.0	-27
04027	-19.0	-33.0	-33.0	-34	-31	-31.0	-34
05011		-24.0	-24.0	-33	-31	-31.0	-34
05023		-1.0	-1.0	-10	-8	-8.0	-11
05027		-37.0	-37.0	-46	-44	-44.0	-47
05029		-1.0	-1.0	-10	-8	-8.0	-11
05035		-11.0	-11.0	-20	-18	-18.0	-21
05043		-15.0	-15.0	-24	-22	-22.0	-25
05051		-41.0	-41.0	-50	-48	-48.0	-51
05057		-14.0	-14.0	-23	-21	-21.0	-24
05069		-11.0	-11.0	-20	-18	-18.0	-21
05073		-31.0	-31.0	-40	-38	-38.0	-41
05075		-9.0	-9.0	-18	-16	-16.0	-19
05077		-19.0	-19.0	-28	-26	-26.0	-29
05079		-37.0	-37.0	-46	-44	-44.0	-47
05091		-27.0	-27.0	-36	-34	-34.0	-37
05107		-17.0	-17.0	-26	-24	-24.0	-27
05111		-33.0	-33.0	-42	-40	-40.0	-43
05119		-1.0	-1.0	-10	-8	-8.0	-11
05125		-10.0	-10.0	-19	-17	-17.0	-20
05133		-34.0	-34.0	-43	-41	-41.0	-44
05135		-42.0	-42.0	-51	-49	-49.0	-52
05139		-41.0	-41.0	-50	-48	-48.0	-51
05141		-4.0	-4.0	-13	-11	-11.0	-14
05143		-27.0	-27.0	-36	-34	-34.0	-37
05145		-25.0	-25.0	-34	-32	-32.0	-35
05149		-39.0	-39.0	-48	-46	-46.0	-49
06001	-4.0	-4.0	-4.0	-4	-8	-8.0	-7
06013	-1.0	-1.0	-1.0	-1	-5	-5.0	-4
06019	-15.0	-15.0	-15.0	-15	-19	-19.0	-18
06025	-14.0	-14.0	-14.0	-14	-18	-18.0	-17
